Filename,Formula,Notes,Num Elements,2a,2c,6h (1),6h (2),12k,combined_RE10_l,combined_RE10
,,,,0.000 0.000 0.000 ,0.333 0.667 0.250 ,0.541 0.083(2) 0.250 ,0.886(1) 0.772(3) 0.250 ,0.210(2) 0.419(3) 0.060 ,[],
1722765.cif,Cd3RuTm10,,3,Tm,Ru,Tm,Cd,Tm,"[['Tm', 3.0]]",Tm3.0
1722761.cif,Cd3RuTb10,,3,Tb,Ru,Tb,Cd,Tb,"[['Tb', 3.0]]",Tb3.0
1722767.cif,Cd3RhY10,,3,Y,Rh,Y,Cd,Y,"[['Y', 3.0]]",Y3.0
1147119.cif,Cd3RhTm10,,3,Tm,Rh,Tm,Cd,Tm,"[['Tm', 3.0]]",Tm3.0
1147127.cif,Cd3PtY10,,3,Y,Pt,Y,Cd,Y,"[['Y', 3.0]]",Y3.0
1147130.cif,Cd3PtTm10,,3,Tm,Pt,Tm,Cd,Tm,"[['Tm', 3.0]]",Tm3.0
1722742.cif,Cd3PdY10,,3,Y,Pd,Y,Cd,Y,"[['Y', 3.0]]",Y3.0
1147121.cif,Cd3PdTm10,,3,Tm,Pd,Tm,Cd,Tm,"[['Tm', 3.0]]",Tm3.0
1050240.cif,Cd3OsY10,,3,Y,Os,Y,Cd,Y,"[['Y', 3.0]]",Y3.0
1050247.cif,Cd3.11OsTm9.89,,3,Tm0.886Cd0.114,Os,Tm,Cd,Tm,"[['Tm', 2.886], ['Cd', 0.114]]",Tm2.886Cd0.114
1050243.cif,Cd3OsTb10,,3,Tb,Os,Tb,Cd,Tb,"[['Tb', 3.0]]",Tb3.0
1050241.cif,Cd3.13OsSm9.87,,3,Sm0.87Cd0.13,Os,Sm,Cd,Sm,"[['Sm', 2.87], ['Cd', 0.13]]",Sm2.87Cd0.13
1722741.cif,Cd3NiY10,,3,Y,Ni,Y,Cd,Y,"[['Y', 3.0]]",Y3.0
1722759.cif,Cd3NiTm10,,3,Tm,Ni,Tm,Cd,Tm,"[['Tm', 3.0]]",Tm3.0
1722766.cif,Cd3Lu10Ru,,3,Lu,Ru,Lu,Cd,Lu,"[['Lu', 3.0]]",Lu3.0
1147120.cif,Cd3Lu10Rh,,3,Lu,Rh,Lu,Cd,Lu,"[['Lu', 3.0]]",Lu3.0
1147131.cif,Cd3Lu10Pt,,3,Lu,Pt,Lu,Cd,Lu,"[['Lu', 3.0]]",Lu3.0
1147114.cif,Cd3.11Lu9.89Pd,,3,Lu0.89Cd0.11,Pd,Lu,Cd,Lu,"[['Lu', 2.89], ['Cd', 0.11]]",Lu2.89Cd0.11
1050248.cif,Cd3Lu10Os,,3,Lu,Os,Lu,Cd,Lu,"[['Lu', 3.0]]",Lu3.0
1722760.cif,Cd3Lu10Ni,,3,Lu,Ni,Lu,Cd,Lu,"[['Lu', 3.0]]",Lu3.0
1147115.cif,Cd2.91Ir1.09Y10,,3,Y,Ir,Y,Cd0.97Ir0.03,Y,"[['Y', 3.0]]",Y3.0
1147125.cif,Cd3IrTm10,,3,Tm,Ir,Tm,Cd,Tm,"[['Tm', 3.0]]",Tm3.0
1147122.cif,Cd3IrTb10,,3,Tb,Ir,Tb,Cd,Tb,"[['Tb', 3.0]]",Tb3.0
