Filename,Formula,Entry prototype,Notes,Num Elements,2c,2a,6h1,6h2,12k
,,,,,0.333 0.667 0.250,0.000 0.000 0.000,0.541 0.083(1) 0.250,0.886 0.773 0.250,0.210 0.419(1) 0.060
1532717.cif,Al3Ho10Pd,"Cd3Y10Ru,hP28,194",,3,Pd,Ho,Ho,Al,Ho
1722741.cif,Cd3NiY10,"Cd3Y10Ru,hP28,194",,3,Ni,Y,Y,Cd,Y
1722755.cif,Cd3CoEr10,"Cd3Y10Ru,hP28,194",,3,Co,Er,Er,Cd,Er
1722754.cif,Cd3CoHo10,"Cd3Y10Ru,hP28,194",,3,Co,Ho,Ho,Cd,Ho
1722740.cif,Cd3RuY10,"Cd3Y10Ru,hP28,194",,3,Ru,Y,Y,Cd,Y
1532716.cif,Al3PdY10,"Cd3Y10Ru,hP28,194",,3,Pd,Y,Y,Al,Y
1532714.cif,Al3RhY10,"Cd3Y10Ru,hP28,194",,3,Rh,Y,Y,Al,Y
1147154.cif,Al3CoTm10,"Cd3Y10Ru,hP28,194",,3,Co,Tm,Tm,Al,Tm
1722756.cif,Cd3CoTm10,"Cd3Y10Ru,hP28,194",,3,Co,Tm,Tm,Cd,Tm
1722742.cif,Cd3PdY10,"Cd3Y10Ru,hP28,194",,3,Pd,Y,Y,Cd,Y
1722743.cif,Cd3.08Er9.92Fe,"Cd3Y10Ru,hP28,194",,3,Fe,Er0.92Cd0.08,Er,Cd,Er
1722757.cif,Cd3CoLu10,"Cd3Y10Ru,hP28,194",,3,Co,Lu,Lu,Cd,Lu
1532715.cif,Al3Lu10Rh,"Cd3Y10Ru,hP28,194",,3,Rh,Lu,Lu,Al,Lu
1147151.cif,Al3CoDy10,"Cd3Y10Ru,hP28,194",,3,Co,Dy,Dy,Al,Dy
1532711.cif,Al3NiY10,"Cd3Y10Ru,hP28,194",,3,Ni,Y,Y,Al,Y
1722753.cif,Cd3CoDy10,"Cd3Y10Ru,hP28,194",,3,Co,Dy,Dy,Cd,Dy
1722747.cif,Cd3Dy10Fe,"Cd3Y10Ru,hP28,194",,3,Fe,Dy,Dy,Cd,Dy
1722746.cif,Cd3FeY10,"Cd3Y10Ru,hP28,194",,3,Fe,Y,Y,Cd,Y
1722752.cif,Cd3CoTb10,"Cd3Y10Ru,hP28,194",,3,Co,Tb,Tb,Cd,Tb
